Date,Open,High,Low,Close,Adj Close,Volume
2024-03-12,138.25,140.28,138.21,139.62,138.96,19019700
2024-03-11,137.07,139.98,137.07,138.94,138.29,22536400
2024-03-08,135.04,138.99,134.80,136.29,135.65,26472400
2024-03-07,133.89,135.82,132.66,135.24,134.60,24107300
2024-03-06,134.24,134.74,131.95,132.56,131.94,23175200
2024-03-05,132.74,134.02,131.55,133.78,133.15,28447600
2024-03-04,136.54,136.63,132.86,134.20,133.57,43571500
2024-03-01,139.61,140.00,137.98,138.08,137.43,28522000
2024-02-29,138.35,139.95,137.57,139.78,139.12,35485000
2024-02-28,139.10,139.28,136.64,137.43,136.78,30628700
2024-02-27,139.41,140.49,138.50,140.10,139.44,22364000
2024-02-26,143.45,143.84,138.74,138.75,138.10,33513000
2024-02-23,144.97,145.96,144.79,145.29,144.61,14519400
2024-02-22,146.12,146.20,144.01,145.32,144.63,23024700
2024-02-21,142.64,143.98,141.91,143.84,143.16,16499600
2024-02-20,140.94,143.33,140.80,142.20,141.53,18625600
2024-02-16,144.21,144.48,141.52,141.76,141.09,21849700
2024-02-15,144.46,144.76,141.88,143.94,143.26,26724300
2024-02-14,147.37,147.83,145.55,147.14,146.45,16651800
2024-02-13,146.07,148.04,145.11,146.37,145.68,18138500
2024-02-12,149.54,150.59,148.56,148.73,148.03,17236100
2024-02-09,147.95,150.70,147.43,150.22,149.51,21877700
2024-02-08,146.97,147.61,146.42,147.22,146.53,18241300
2024-02-07,146.12,147.00,145.21,146.68,145.99,21436100
2024-02-06,145.96,146.74,144.52,145.41,144.72,21517700
2024-02-05,144.04,146.67,143.91,144.93,144.25,29254400
2024-02-02,140.89,143.88,138.17,143.54,142.86,42116900
2024-02-01,143.69,144.62,142.26,142.71,142.04,25526900
2024-01-31,145.39,145.59,141.55,141.80,141.13,43908600
2024-01-30,154.01,155.04,152.77,153.05,152.33,26578900
2024-01-29,153.64,155.20,152.92,154.84,154.11,20909300
2024-01-26,152.87,154.11,152.80,153.79,153.07,19494500
2024-01-25,151.74,154.76,151.22,153.64,152.92,21495100
2024-01-24,150.29,151.57,149.84,150.35,149.64,19245000
2024-01-23,147.72,148.86,147.19,148.68,147.98,14113600
